"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Turfs","Root Category/GIRLS/FOOTWEAR","2","Yes","turfs","","","","","","Yes","Products only","","Yes","Best Value,Brand,Price,Color,gender","Best Value","No layout updates",""
"Cleats","Root Category/GIRLS/FOOTWEAR","1","Yes","cleats","","","","","","Yes","Products only","","Yes","Best Value,Brand,Price,Color,gender","Best Value","No layout updates",""
"Performance","Root Category/GIRLS/LACROSSE SHORTS","4","Yes","girls-lacrosse-performance-shorts","","","Girls Mesh Lacrosse Shorts | Girls Crazy Shorts | Womens Lacross Shorts | Girls performance Lax Shorts |","","Girls Lacrosse Shorts  - Best Price Guaranteed! Fast, Easy, FREE Shipping Orders Over $99. Top Quality & Great Selection Since 1990.","Yes","Products only","","No","","","No layout updates",""
"Youth Starter Packages","Root Category/Youth/EQUIPMENT","7","Yes","yout-lacrosse-starter-packages","<h2>STX Youth Starter Sets with Stick and Helmet.&nbsp;</h2>","","Youth Lacrosse Starter Packages With Helmets","","Show Now: Youth Lacrosse Starter Sets at Lacrosse Unlimited Fast Delivery + FREE Shipping on all qualified orders Selection, Quality, Service You Can Trus","Yes","Products only","","No","","","No layout updates",""
"Car Magnets","Root Category/Lifestyle/Gifts/LAX GIFTS","3","Yes","lacrosse-car-magnets","","","Lacrosse Goalie Car Magnets | Girls Lacrosse Magnets | Boys Lacrosse Car Magnets","","FREE SHIPPING ALL ORDERS Over $49! Top Quality & Great Selection Since 1990. Best Price Guaranteed On LACROSSE Player Car Magnets.","Yes","Products only","","No","","","No layout updates",""
"CONES","Root Category/Goals & Training/COACHES","7","Yes","cones","","","","","","No","Products only","","Yes","Brand,Price,Color","Price","No layout updates",""
"Helmets","Root Category/Youth/EQUIPMENT","4","Yes","youth-lacrosse-helmets","","","Youth Lacrosse Helmets | Youth Lacrosse Cascade CS | Cascade CPV Youth Lacrosse Helmets | Youth mouthpieces from Mogo and Shockdoctor |","","Free Shipping within 24 Hours on All HELMETS direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse HELMETS by Cascade and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Complete Sticks","Root Category/Youth/EQUIPMENT","2","Yes","youth-lacrosse-complete-sticks","","","Youth Lacrosse Complete Sticks | Youth Lax Complete Sticks | Boys Lacrosse Complete Sticks | Kids Lax Complete Head and Stick | STX Youth Lacrosse Complete Sticks | Brine Youth Complete Sticks | Warrior Youth Lacrosse Sticks | Maverik Youth Lacrosse Compl","Youth,Lacrosse,lax,Complete Stick,Boys,Kids,STX,Brine,Warrior,Nike,Maverik,boys,Youth,pole,mens,beginner,","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Sticks by Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Shoulder Pads","Root Category/Youth/EQUIPMENT","6","Yes","youth-lacrosse-shoulder-pads","","","Youth Lacrosse Shoulder Pads | Youth Lax Shoulder Pads | Boys Lacrosse Shoulder Pads | Kids Lax Shoulder Pads | STX Youth Shoulder Pads | Brine Youth Shoulder Pads | Warrior Youth Shoulder Pads | Nike Youth Shoulder Pads |","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Shoulder Pads by Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Gloves","Root Category/Youth/EQUIPMENT","3","Yes","youth-lacrosse-gloves","","","Youth Lacrosse Gloves | Youth Lax Gloves | Boys Lacrosse Gloves | Kids Lax Gloves | STX Youth Gloves | Brine Youth Gloves | Warrior Youth Gloves | Nike Youth Gloves |","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Gloves by Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Arm Pads","Root Category/Youth/EQUIPMENT","1","Yes","arm-pads","","","Youth Lacrosse Equipment | Youth Arm Pads | Boys Lacrosse Arm Protection | Kids elbow pads | STX Youth Arm Pads | Brine Youth Arm Pads | Warrior Youth Arm Pads |","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Arm Pads by Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Sweats","Root Category/Youth/APPAREL","3","Yes","sweats","","","Youth Lacrosse Clothes | Youth Lacrosse Sweats | Youth Lacrosse Hoodies | Boys Youth NCAA Lacrosse Hoodys  | Boys Lax sweat pants | ","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Sweats by Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","Best Value,Brand,Price,Color,apparel sizes","Best Value","No layout updates",""
"Shorts","Root Category/Youth/APPAREL","2","Yes","shorts","","","Youth Lacrosse Clothes | Youth Lacrosse Shorts | Youth Lacrosse Crazy Shorts | Boys Youth Lacrosse shorts | Boys Lax Dynamic shorts | ","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Shorts by Lacrosse Unlimited, Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Shirts","Root Category/Youth/APPAREL","1","Yes","shirts","","","Youth Lacrosse T Shirts | Youth Lacrosse Tees | Boys Youth Lacrosse shirts | Boys Lax T-shirts | ","","Free Shipping on All Orders over $50.00 and in-stock items ship within 24 Hours direct to your Home with our BEST PRICE GUARANTEED. Youth Lacrosse Tee Shirts by Lacrosse Unlimited, Brine, Nike, STX, Maverik, Under Armour and Warrior.","Yes","Products only","","No","","","No layout updates",""
"Shorts 3 For $50","Root Category/Apparel/LACROSSE SHORTS","4","Yes","shorts-3-for-50-dollars","<h2>Pick Any 3 Shorts Below And Get Them For $50 - $120 Value</h2>
<p>*Discount applied in Shopping Cart*</p>","","Lacrosse Shorts 3 For $50 | Shorts Sale 3 for 50","","Get 3 Pairs of Lax Unlimited Lacrosse Shorts For $50! This weekend ONLY!","Yes","Products only","","No","","","No layout updates",""
"Shafts","Root Category/Youth/EQUIPMENT","5","Yes","youth-lacrosse-shafts","","","Youth Lacrosse handles | Youth Lacrosse Shafts | Youth Lacrosse sticks | Boys Youth Lacrosse pole | Youth Boys Lacrosse shaft | Youth Lacrosse handle |","Lacrosse, Unlimited, Brine,STX,Warrior,Maverik,Nike,Youth,Lacrosse,lax,handles,Shafts,sticks,pole,Boys,beginner,middle school","FREE SHIPPING and FAST Delivery on Orders over 50.00 and ship within 24 hours on in-stock items. Most Trusted & Largest Lacrosse Retailer since 1990","Yes","Products only","","No","","","No layout updates",""
"Apparel","Root Category/Clearance/WOMENS","1","Yes","tees","","","","","","Yes","Products only","","No","","","No layout updates",""
"Gloves","Root Category/GIRLS/EQUIPMENT","2","Yes","womens-lacrosse-glove","","","","","","Yes","Products only","","No","","","No layout updates",""
"College","Root Category/GIRLS/LACROSSE SHORTS","1","Yes","girls-college-lacrosse-shorts","","2013-womans-college-shorts.png","Girls College Lacrosse Shorts | Womens College Lacrosse Shorts","","Girls College Lacrosse Shorts  - Best Price Guaranteed! Fast, Easy, FREE Shipping Orders Over $50. Top Quality & Great Selection Since 1990.","Yes","Products only","","No","","","No layout updates",""
"Towson","Root Category/Shop By/College","27","Yes","towson","","","","","","Yes","Products only","","No","","","No layout updates",""
"Pocket Radar","Root Category/Shop By/Brand","12","Yes","pocket-radar","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hofstra","Root Category/Shop By/College","11","Yes","hofstra","","","","","","Yes","Products only","","No","","","No layout updates",""
"Accessories","Root Category/Clearance/LIFESTYLE / GIFTS","4","Yes","accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bags","Root Category/Clearance/LIFESTYLE / GIFTS","3","Yes","bags","","","","","","Yes","Products only","","No","","","No layout updates",""
