Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Mouth Pieces,Root Category/Mens/Protective/Helmets,,Yes,Mouth Pieces,,,Mouth Pieces,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Arm Pads,Root Category/Mens/Protective/Arm Pads,,Yes,Arm Pads,,,Arm Pads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Arm Guards,Root Category/Mens/Protective/Arm Pads,,Yes,Arm Guards,,,Arm Guards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Elbow Guards,Root Category/Mens/Protective/Arm Pads,,Yes,Elbow Guards,,,Elbow Guards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shoulder Pads,Root Category/Mens/Protective/Shoulder Pads,,Yes,Shoulder Pads,,,Shoulder Pads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shoulder Liners,Root Category/Mens/Protective/Shoulder Pads,,Yes,Shoulder Liners,,,Shoulder Liners,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Rib Protection,Root Category/Mens/Protective/Shoulder Pads,,Yes,Rib Protection,,,Rib Protection,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Brands,Root Category/Mens/Protective/Gloves,,Yes,Brands,,,Brands,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Gloves,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Gloves,,,Goalie Gloves,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Chest Protection,Root Category/Mens/Protective/Goalie Equipment,,Yes,Chest Protection,,,Chest Protection,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
